County/Sub County,Total,Farming,Crop Production,Livestock Production,Aquaculture,Fishing,Irrigation,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton,Exotic cattle 0Dairy,Exotic cattle 0Beef,Indigenous cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous Chicken,Exotic Chicken Layers,Exotic Chicken Broilers,Beehives,Rabbits,Fish Ponds,Fish Cages
MATUNGULU,44454,29763,27638,21307,76,311,2590,26874,1154,822,25219,9598,5002,,2807,8993,621,2519,1678,,230,481,5040,1124,,,1088,366,12402,7460,10378,11,253,84,16733,578,349,414,1528,66,11
MWALA,45840,39928,38921,32795,77,243,1609,38432,5503,245,35847,7415,5567,,16227,7045,396,1804,872,,1025,843,4492,484,,,2491,982,21862,3517,24657,14,7143,32,27496,826,428,1437,964,68,19
YATTA,46153,32541,30588,26636,86,317,3099,29903,5108,287,26521,3889,3452,,15119,4037,407,2031,918,,818,821,4860,990,,,1505,505,17142,6150,20987,12,5834,59,21653,585,309,1507,626,75,4
MAKUENI,244669,193531,180639,157946,394,908,15313,176503,34867,12328,137972,45628,29899,,69800,49487,6382,12906,6773,,6607,5887,33585,12286,1564,,9659,3192,96923,27988,118982,73,30697,129,133836,4986,2755,12302,3675,324,66
KATHONZWENI,18365,15666,14130,13978,24,60,703,13792,5465,50,7183,1179,982,,11177,781,106,646,293,,989,537,1605,175,220,,609,180,8860,2296,12320,7,7244,10,12254,196,125,1936,96,21,6
KIBWEZI,47912,33820,29084,27645,77,166,2036,27902,9449,132,10918,3984,1560,,21402,1184,236,1291,396,,1582,1597,3302,445,367,,708,434,15179,5902,23851,8,2515,20,22767,717,355,2752,247,61,16
KILUNGU,14586,12881,12457351,10182,26,71,1659,12264,328,3882,11953,6415,2679,,397,8065,1342,1141,706,,81,114,3520,2831,62,,1121,225,5694,1265,5833,11,559,4,8451,505,270,547,562,23,2
MAKINDU,21756,14334,12115,11710,28,151,984,11577,2694,70,6083,1205,1189,,8944,476,123,694,203,,468,503,1434,152,70,,295,197,5562,2669,9872,12,996,9,9635,343,326,1343,128,21,2
MAKUENI,34479,26021,25179,20749,84,106,2125,24706,4234,750,22675,7769,5789,,6568,9637,755,2016,1126,,566,912,5365,1871,214,,1544,523,13900,2339,14213,10,4645,23,17975,570,258,1425,803,62,21
MBOONI EAST,23734,21461,20939,17985,32,123,1183,20622,5991,193,18669,4005,3983,,8710,6192,332,1164,713,,1174,624,3330,933,194,,1128,578,12220,1627,14226,4,7193,12,15467,976,501,1446,312,29,5
MBOONI WEST,24833,22069,21464,16721,30,57,3248,21181,1445,4472,20651,9076,5390,,1370,11744,1731,2416,1656,,417,376,6850,2943,118,,1890,351,9220,2011,10244,3,747,6,14219,744,469,453,563,27,4
MUKAA,28185,22133,21171,18432,36,70,1026,20838,1866,2397,19847,6186,4042,,2658,5720,786,1217,847,,454,420,2893,1187,46,,1095,266,12962,5285,13402,5,1925,22,15604,341,200,897,488,34,1
NZAUI,30819,25146,24100,20544,57,104,2349,23621,3395,382,19993,5809,4285,,8574,5688,971,2321,833,,876,804,5286,1749,273,,1269,438,13326,4594,15021,13,4873,23,17464,594,251,1503,476,46,9
NYANDARUA,179686,140854,135148,110337,250,603,4218,114595,1793,119679,59481,1038,3788,2719,4241,3956,64651,3099,43964,,,,74358,3636,,,62978,9637,23151,53860,12196,,6668,512,80850,7065,1996,2442,9263,233,16
KINANGOP,30970,23636,22292,18291,28,50,502,13568,35,20282,3784,40,84,85,971,83,15861,118,4652,,,,12808,80,,,13083,1741,1297,8503,688,0,635,37,11473,1371,325,194,1529,25,3
NYANDARUA SOUTH,25822,20400,19621,16405,23,83,196,15798,66,18318,5585,35,97,447,379,64,13047,133,8531,,,,13258,90,,,12458,2009,1977,7688,409,0,643,10,10747,1301,275,370,1752,23,1
MIRANGINE,18816,14488,14078,11271,30,43,237,12400,62,13109,4788,53,88,47,396,295,6571,223,5355,,,,8003,64,,,7888,1142,1422,5381,649,0,1160,24,8013,533,167,127,878,26,5
KIPIPIRI,25200,21702,20973,17349,38,93,1302,17870,108,18566,10808,63,490,642,533,525,10197,458,7854,,,,11311,423,,,9357,1760,5081,9301,1165,0,954,32,12813,1405,600,641,1223,36,1
NYANDARUA CENTRAL,21942,16111,15535,12171,36,83,185,14729,203,13376,9967,59,328,228,429,550,6477,591,5325,,,,8579,334,,,6015,838,2448,6309,1796,0,1519,72,9754,857,208,258,952,33,1
NYANDARUA WEST,29008,21047,20060,16014,26,100,319,18616,129,16949,9871,55,450,534,925,720,6391,374,5685,,,,9870,868,,,7930,1192,3089,7768,2251,0,826,89,12591,931,214,285,1495,24,1
NYANDARUA NORTH,27917,23468,22587,18834,69,151,1477,21613,1190,19077,14678,733,2251,736,608,1719,6106,1201,6562,,,,10529,1777,,,6245,955,7837,8909,5238,0,931,248,15457,665,206,567,1434,66,4
ABERDARE NATIONAL PA,11,2,2,2,0,0,0,1,,2,,,,,,,1,1,,,,,,,,,2,0,0,1,0,0,0,0,2,2,1,0,0,0,0
NYERI,248050,164229,154421,122979,760,1264,23545,138426,3354,,108919,125889,13597,34618,2536,2311,81891,45430,12864,27917,,,71714,23622,,,51342,7267,28563,33893,41183,,439,2305,84273,8973,2370,3514,9302,718,58
TETU,24139,20387,19625,15595,101,155,739,18703,177,,16979,17212,1576,6022,98,258,14230,6799,1781,3421,,,12240,3769,,,8151,1174,1849,3164,4905,0,19,353,10087,1722,432,507,1132,94,12
KIENI EAST,36835,23138,21124,17802,170,185,9435,17784,813,,19154,17620,477,2658,570,647,2222,7932,1876,3518,,,7667,2154,,,3910,441,8360,8961,4308,0,94,128,14277,579,131,551,1606,164,4
KIENI WEST,27619,21942,20488,17108,63,106,3417,18569,1296,,18163,16912,532,2522,1342,379,1987,5527,1673,7839,,,7190,1596,,,5477,760,7504,7928,4320,0,251,67,13258,848,247,792,1440,61,9
MATHIRA EAST,35044,20473,19174,14460,66,123,4003,15719,123,,9506,13036,1696,3659,74,275,12612,7727,1431,2717,,,9847,4137,,,6432,956,2593,3225,4191,0,9,540,8847,1121,280,193,1046,64,1
MATHIRA WEST,19020,15919,15242,11854,75,139,2272,14301,151,,13009,13485,2048,3869,72,133,10735,3105,1204,1492,,,5531,2539,,,4907,516,2295,3675,4188,0,23,294,8785,625,171,347,800,66,9
NYERI SOUTH,28228,21243,20337,15458,92,222,1012,17672,137,,13064,15126,1099,5291,92,343,13483,9351,1887,4813,,,13022,2820,,,7718,1186,2573,2538,4863,0,3,320,8720,1470,353,323,1198,83,9
MUKURWE0INI,27040,22973,22075,18730,113,200,1352,20938,484,,5816,19153,4756,6743,116,104,17368,1636,1437,1900,,,9201,4313,,,10494,1671,1665,1553,10379,0,3,229,12457,1443,410,538,1406,109,8
NYERI CENTRAL,49945,18108,16311,11956,80,134,1311,14736,172,,13184,13326,1413,3853,171,172,9254,3345,1574,2216,,,7009,2294,,,4251,562,1716,2841,4029,0,37,374,7832,1165,346,262,674,77,6
MT. KENYA FOREST,101,44,43,15,0,0,2,3,1,,42,18,,,,,,7,,,,,6,,,,1,1,8,8,0,0,0,0,10,0,0,1,0,0,0
ABERDARE FOREST,79,2,2,1,0,0,2,1,,,2,1,,1,1,,,1,1,1,,,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRINYAGA,204188,139866,130577,97394,702,1796,42309,100197,8880,21557,22133,83440,20215,25556,,4285,73990,18370,15866,10460,2643,2049,40338,19104,,,29013,8588,25622,9616,42477,,564,2410,74137,4680,2007,2844,8727,606,54
KIRINYAGA CENTRAL,40225,27890,25884,19963,154,235,5645,20599,936,1399,4489,16778,2785,4705,,166,17432,6341,3281,3631,320,141,10337,3704,,,7798,2414,3181,1375,8413,0,5,782,14507,940,452,357,1989,76,6
KIRINYAGA EAST,44571,36150,34695,26424,184,388,7495,26017,887,1139,9543,22155,8136,7676,,277,26011,7674,3589,3515,264,498,14083,7848,,,9861,3329,6230,2416,9521,0,10,507,20145,1426,589,1527,2465,179,17
KIRINYAGA WEST,38309,27280,25922,19503,195,484,5012,22028,1436,1193,2302,19144,4494,7243,,299,17617,2966,1803,2284,319,304,7961,4392,,,7548,1859,3531,1882,9961,0,19,396,14535,963,409,439,2032,191,17
MWEA EAST,46340,25729,23390,16853,108,363,12563,17855,2136,7991,5477,14361,2989,3226,,1530,7892,957,3014,670,498,807,4659,2096,,,2280,633,6508,1956,8649,0,196,360,13335,738,344,373,1339,102,7
MWEA WEST,34720,22809,20680,14647,61,326,11594,13695,3485,9835,322,10999,1811,2705,,2013,5037,430,4177,360,1242,299,3296,1064,,,1525,352,6172,1987,5933,0,334,365,11612,613,213,148,902,58,7
MT. KENYA FOREST,23,8,6,4,0,0,0,3,,,,3,,1,,,1,2,2,,,,2,,,,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0
MURANG'A,318105,231400,219973,175123,450,1345,11205,202745,6021,,91878,177211,49778,60504,,3208,144925,35857,13611,26806,,,86317,21753,,,82912,17983,30738,22478,66761,,621,11053,117623,10341,3161,3488,14565,428,36
MURANG'A EAST,34734,21474,20308,16339,58,211,1310,19674,1209,,4080,18506,6365,5912,,288,12802,508,840,1172,,,3511,2443,,,5511,909,4319,1338,9341,0,19,338,12245,969,264,326,1292,54,6
KANGEMA,25293,20585,19897,15788,35,84,501,18294,162,,8612,14126,3079,6542,,439,13971,7310,989,5146,,,12736,2770,,,8528,2299,2175,2785,6191,0,0,189,8654,1647,395,295,1506,35,2
MATHIOYA,28400,23395,22656,18202,43,128,902,20339,144,,10072,16968,3485,6725,,400,15506,4847,1293,3811,,,11983,1862,,,10944,2050,2222,2269,7060,0,4,247,10618,1798,510,361,1606,41,3
KAHURO,26930,23127,22332,18940,44,103,789,20102,186,,6643,17593,5203,7455,,123,17333,3864,1336,2921,,,10963,2047,,,11942,2645,1691,3638,6868,0,4,263,12794,1139,493,256,1267,42,3
MURANG'A SOUTH,55998,37654,35260,27467,79,283,2952,34203,2011,,12936,31932,12222,9470,,681,20062,941,2800,1545,,,7831,3037,,,8616,1521,6484,2705,12698,0,288,2876,21579,926,397,706,2739,74,8
GATANGA,55461,35429,32990,25793,74,234,1791,29265,1388,,15923,26024,5932,6959,,734,20722,6333,2421,4153,,,12711,2902,,,9867,3239,5856,2763,10904,0,131,1483,17661,1255,367,863,1964,73,3
KIGUMO,40552,31110,29917,23808,63,119,936,26237,345,,10591,20959,4411,5784,,364,16971,7138,1355,4143,,,12360,1483,,,13140,2692,3962,4274,5345,0,33,1480,14926,1204,379,285,1733,59,6
KANDARA,50704,38624,36611,28785,54,183,2024,34630,576,,23019,31103,9081,11657,,179,27558,4914,2577,3914,,,14221,5209,,,14364,2628,4028,2706,8354,0,142,4177,19145,1403,356,396,2458,50,5
ABERDARE FOREST,33,2,2,1,0,0,0,1,,,2,,,,,,,2,,1,,,1,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
KIAMBU,795241,214052,177419,147137,417,1317,14835,144125,,,108457,120887,9816,18416,,,74810,41121,17996,28684,,,103524,19981,,,67014,9559,10511,30251,21854,,3891,9731,92248,14138,4156,1535,7577,379,52
GATUNDU NORTH,31472,21532,19457,15368,23,75,716,14604,,,9382,11788,1170,3276,,,12602,3163,1568,2023,,,7309,2228,,,8476,1752,1090,3478,3425,0,38,334,8758,1580,271,261,1025,22,3
GATUNDU SOUTH,35609,25074,23552,17818,62,146,740,20819,,,17143,18372,2420,4625,,,17800,4400,1837,3373,,,11440,4949,,,10414,1615,1195,4686,3028,0,21,483,11795,1241,383,256,930,55,10
GITHUNGURI,49426,29745,26504,21117,31,113,1734,23166,,,16428,18081,1484,2396,,,16563,7734,3565,4711,,,16009,3922,,,14861,1336,1230,2418,2105,0,103,911,12195,1672,530,164,849,27,4
JUJA,104301,15859,9564,11395,50,192,1658,7436,,,2362,6226,1062,1416,,,2618,1021,1514,1316,,,3870,1046,,,1457,303,1148,1659,2595,0,205,452,9001,1077,402,94,808,45,8
KABETE,66710,15713,11756,10463,32,66,2681,8812,,,5859,7216,231,501,,,2999,1917,811,1657,,,8232,808,,,4188,600,464,1352,899,0,130,2176,5159,1116,322,41,401,29,3
KIAMBAA,80332,13339,10223,8350,18,68,909,8788,,,5605,7620,461,973,,,4482,1404,1091,1331,,,6127,1208,,,2673,364,540,1415,1144,0,114,1230,4659,930,322,61,381,17,2
KIAMBU,47275,10505,7831,6907,28,80,728,6657,,,3172,5238,570,737,,,4229,835,909,955,,,3833,1477,,,2156,289,318,874,1251,0,51,1413,3919,946,325,86,429,28,4
KIKUYU,60686,17693,14832,11772,26,70,876,13449,,,12438,12733,338,782,,,3174,2178,1259,2421,,,8210,1054,,,3771,479,575,2447,1896,0,957,1336,8393,1066,321,141,416,25,1
LARI,38592,25602,23860,18031,40,72,1219,16282,,,19240,12158,305,1089,,,4896,12078,1578,4917,,,20622,780,,,11369,1636,1547,6324,1007,0,988,144,11012,1646,387,178,1110,38,3
LIMURU,49174,19202,16888,12561,25,69,1003,14312,,,14217,13413,179,540,,,1617,4908,1344,3755,,,11999,567,,,5747,745,648,3982,1168,0,1106,536,7653,1238,247,127,471,22,4
RUIRU,129470,8590,5013,5960,37,105,1003,3554,,,970,2756,478,689,,,1423,681,939,885,,,2367,807,,,748,217,407,626,1226,0,112,287,4402,827,341,35,320,32,6
THIKA EAST,12736,4700,3739,3340,17,125,863,3304,,,752,3024,620,634,,,1111,305,651,563,,,1472,458,,,389,50,1123,678,1246,0,47,107,2673,150,36,67,212,17,0
THIKA WEST,89458,6498,4200,4055,28,136,705,2942,,,889,2262,498,758,,,1296,497,930,777,,,2034,677,,,765,173,226,312,864,0,19,322,2629,649,269,24,225,22,4
TURKANA,164519,61209,14240,56643,398,4522,4968,9751,10225,,,,,,1991,,,,,,,2917,1827,,,,561,308,10117,40870,52740,15589,13570,67,5501,695,466,302,45,333,101
KIBISH,5805,3955,148,3896,18,20,64,85,24,,,,,,7,,,,,,,61,46,,,,88,53,2196,3404,3707,526,2294,1,190,23,24,2,4,16,0
LOIMA,19438,9743,2584,9157,63,91,1072,1732,2167,,,,,,414,,,,,,,323,201,,,,91,39,976,5896,8656,2616,1565,17,1055,161,130,53,13,56,11
TURKANA CENTRAL,38173,11229,2646,10671,120,2659,743,1392,2122,,,,,,404,,,,,,,834,198,,,,101,62,330,7132,9785,1826,731,14,1442,200,108,8,12,106,41
TURKANA EAST,17981,9618,2845,8759,54,69,1497,2695,1922,,,,,,331,,,,,,,460,272,,,,73,38,2714,7482,8223,4243,2735,13,801,92,49,136,3,54,5
TURKANA NORTH,13119,6956,161,6931,53,1576,45,53,25,,,,,,8,,,,,,,62,62,,,,57,41,425,4309,6526,1484,1172,5,548,48,44,3,1,27,30
TURKANA SOUTH,24552,10257,2979,8703,39,63,1196,2824,1518,,,,,,607,,,,,,,785,780,,,,68,20,902,6178,8059,2447,1203,5,907,106,74,65,4,31,3
TURKANA WEST,45451,9451,2877,8526,51,44,351,970,2447,,,,,,220,,,,,,,392,268,,,,83,55,2574,6469,7784,2447,3870,12,558,65,37,35,8,43,11
WEST POKOT,116182,89828,80186,78534,620,397,8095,75323,18754,11316,43812,2126,2942,,2193,14413,8146,4808,10145,1140,11759,1035,18662,4006,,,11076,3253,51874,40004,48267,3281,3378,64,52039,2376,1419,15207,228,518,87
KIPKOMO,18370,14921,13998,13129,68,70,2577,13733,4632,686,10477,539,818,,297,3029,660,1054,2115,188,2829,106,3501,558,,,1075,518,9283,7446,8004,18,949,9,10246,449,280,2079,54,58,6
POKOT CENTRAL,21850,17573,14219,15106,61,72,3257,13864,2097,644,7281,909,613,,838,4137,656,1168,1691,372,3822,226,2533,1659,,,549,288,9374,6402,10625,435,230,3,9123,268,99,1911,15,55,10
POKOT NORTH,25804,20563,17933,18947,164,87,341,17561,7692,285,8915,117,261,,488,622,242,432,462,278,1607,486,1313,370,,,751,737,14950,9292,16945,2457,493,30,10563,455,289,5888,34,144,38
POKOT SOUTH,13817,12241,11709,11091,68,31,1085,8398,481,7886,4585,181,413,,87,1998,4883,1146,4836,63,934,80,5930,743,,,6033,819,4173,6068,1385,6,631,3,7743,425,170,1202,39,65,6
WEST POKOT,36341,24530,22327,20261,259,137,835,21767,3852,1815,12554,380,837,,483,4627,1705,1008,1041,239,2567,137,5385,676,,,2668,891,14094,10796,11308,365,1075,19,14364,779,581,4127,86,196,27
SAMBURU,65910,43149,13814,41097,172,278,465,12817,,3168,10667,,346,93,465,721,1593,2202,2458,,51,,4487,,,,1046,1112,29629,34813,34279,9204,9857,48,13709,634,367,3642,62,145,31
SAMBURU CENTRAL,34202,22176,13217,20248,94,119,355,12561,,3134,10408,,321,89,425,656,1556,2092,2359,,49,,4291,,,,681,663,15372,17003,14671,1843,1904,20,9358,446,212,2377,46,78,6
SAMBURU EAST,18424,11460,222,11430,23,77,14,59,,17,53,,7,2,3,8,13,18,15,,2,,33,,,,242,301,7544,10104,10780,3784,5126,13,2914,125,64,468,5,20,3
SAMBURU NORTH,13284,9513,375,9419,55,82,96,197,,17,206,,18,2,37,57,24,92,84,,,,163,,,,123,148,6713,7706,8828,3577,2827,15,1437,63,91,797,11,47,22
TRANS NZOIA,223808,140249,129945,96811,713,770,5153,125391,9454,15289,88786,10655,22537,1663,1251,55116,8379,9486,7414,2205,12266,,43464,7816,,,34268,3327,33315,33309,7090,,3257,670,76678,5329,2025,1959,895,664,86
TRANS NZOIA WEST,47603,23540,21654,16142,108,123,983,20733,1886,4606,16029,1823,3479,268,211,9683,1823,2871,1338,337,2178,,7093,865,,,3464,425,7541,5255,1504,0,900,211,12919,698,294,299,135,101,13
TRANS NZOIA EAST,50017,36921,34999,26385,198,189,1106,34049,1992,3387,22193,1392,4123,360,240,12863,2349,1380,2243,194,3921,,12007,1684,,,14150,992,6653,10280,934,0,699,95,20374,1451,360,789,206,184,14
KWANZA,45752,28502,26223,18991,170,174,877,25420,1951,1826,17713,2149,4626,344,274,9958,1377,1374,1018,303,2610,,7917,1047,,,6666,731,6514,6844,853,0,388,147,14788,1194,563,232,168,159,31
ENDEBESS,23705,16775,15624,11952,38,43,1189,14936,1591,2818,11555,831,1698,196,145,4196,1055,2130,979,99,1547,,3922,310,,,2611,384,5446,5146,2004,0,1050,58,9076,440,198,220,76,30,4
KIMININI,56731,34511,31445,23341,199,241,998,30253,2034,2652,21296,4460,8611,495,381,18416,1775,1731,1836,1272,2010,,12525,3910,,,7377,795,7161,5784,1795,0,220,159,19521,1546,610,419,310,190,24
UASIN GISHU,304943,141547,132009,104671,524,708,5141,126577,8982,23950,67257,2675,10382,8148,,21501,12737,9092,16729,,15684,,46064,4704,,,44163,3056,42622,44277,6478,19,1693,847,73895,5430,1773,5442,1047,477,61
AINABKOI,34892,17845,16705,13513,69,88,640,15828,743,6235,8536,125,900,1254,,1494,2495,1137,3143,,1908,,6450,266,,,6434,614,4985,7021,530,3,116,97,8877,790,364,862,169,58,8
KAPSERET,59746,16891,14835,11835,65,100,611,13839,741,1983,6530,324,1237,378,,3103,1331,1218,2048,,642,,6079,690,,,6064,517,2764,3682,625,1,55,234,8132,889,296,458,130,62,3
KESSES,34653,24309,23307,18175,55,84,640,22229,1332,8846,12119,184,1411,754,,3275,3946,1350,5395,,1283,,9885,523,,,9445,729,6667,7519,563,3,735,42,11969,948,230,998,233,53,5
MOIBEN,46729,22915,21714,17708,117,105,1266,20805,2128,3635,12677,234,1456,3673,,2461,2085,1866,2205,,6591,,6999,515,,,4796,374,10454,10281,1801,3,288,144,12264,694,250,1630,231,113,16
SOY,53784,33352,31494,24693,100,153,1093,30817,2259,1764,15491,689,2845,1658,,5141,1744,2003,1870,,3382,,8758,646,,,10563,371,9815,10157,1385,4,443,79,18855,1011,281,900,133,90,12
TURBO,75139,26235,23954,18747,118,178,891,23059,1779,1487,11904,1119,2533,431,,6027,1136,1518,2068,,1878,,7893,2064,,,6861,451,7937,5617,1574,5,56,251,13798,1098,352,594,151,101,17
ELGEYO/MARAKWET,99861,74881,71084,54322,280,340,8383,62633,9624,27205,39126,2276,4123,1369,1744,12325,10555,4105,13775,1772,20353,548,22876,2021,,,13432,1802,31393,27835,10730,21,1708,49,32412,1512,670,5141,530,260,35
KEIYO NORTH,21947,15190,14339,10582,29,58,809,13527,1612,3018,9650,199,791,648,223,2011,1223,934,1346,83,4971,87,3671,253,,,1902,177,6845,5631,1816,7,163,7,6608,207,60,910,157,27,2
KEIYO SOUTH,27029,21518,20441,16550,113,115,1074,18562,2052,8789,11723,682,1443,285,484,3660,4234,1045,5207,1061,4870,123,7646,305,,,5304,774,9063,8509,2877,5,531,11,10318,574,216,1859,172,105,10
MARAKWET EAST,21362,15779,14723,11044,36,69,4250,11779,3887,4840,6388,1186,935,194,835,2875,1498,1160,2231,535,5590,225,3840,705,,,1462,328,6168,5397,4056,6,127,6,5108,184,109,1083,22,33,6
MARAKWET WEST,29523,22394,21581,16146,102,98,2250,18765,2073,10558,11365,209,954,242,202,3779,3600,966,4991,93,4922,113,7719,758,,,4764,523,9317,8298,1981,3,887,25,10378,547,285,1289,179,95,17
NANDI,199426,148887,143017,111347,824,1034,3777,134408,14875,18045,79216,17146,25641,1766,,68158,14764,10084,32316,1343,12788,,58494,22885,,,54653,5315,43268,28054,10032,,3116,201,78490,6867,2285,3937,1248,777,79
CHESUMEI,39051,26835,25504,20274,124,155,557,23735,1785,3790,11413,1437,3521,261,,11721,2941,1297,4512,149,1722,,11747,3105,,,13575,1063,4170,5720,647,0,36,29,13598,1752,531,586,265,118,10
NANDI CENTRAL,34400,23951,22841,17343,125,168,516,20895,1667,3236,11961,2319,3917,217,,11458,2304,1233,4997,186,1517,,10053,3223,,,8901,868,5918,3902,970,0,51,57,11421,1265,326,664,255,118,8
NANDI EAST,29253,16777,16093,11896,91,108,738,14873,1330,3121,9441,823,1860,293,,6017,2296,1482,4761,86,1030,,7044,967,,,6573,557,3999,2603,722,0,402,12,7514,799,292,460,97,85,6
NANDI NORTH,35297,30073,29010,23728,171,264,1080,28171,3704,3452,15124,1645,3919,319,,11251,3198,1697,5265,268,3461,,9326,4739,,,13536,1576,7845,8001,1075,0,337,68,17300,1352,537,908,163,156,26
NANDI SOUTH,37094,31054,29829,23740,231,219,420,27508,2250,3165,18653,8551,9671,249,,18816,2843,1958,8390,492,1965,,12941,4965,,,8776,910,11798,5195,3179,0,488,30,17656,1209,334,703,294,223,23
TINDERET,24331,20197,19740,14366,82,120,466,19226,4139,1281,12624,2371,2753,427,,8895,1182,2417,4391,162,3093,,7383,5886,,,3292,341,9538,2633,3439,0,1802,5,11001,490,265,616,174,77,6
BARINGO,142518,100465,84426,80426,511,841,7165,80000,13594,12438,49579,5655,7571,1310,3802,18052,5585,5204,11101,4242,27128,1742,23812,3070,,,13012,2709,45272,37159,45686,4368,6093,76,53611,2032,1029,17720,627,468,81
BARINGO CENTRAL,23555,15137,14047,10403,41,75,354,13463,2739,877,10087,1815,2185,316,376,6131,441,1036,1401,1609,5873,120,4799,940,,,2643,470,4770,3549,4672,4,211,2,7357,362,133,1839,96,33,6
BARINGO NORTH,23500,18409,16685,13946,24,109,377,15300,3927,1052,10260,1940,1974,177,1161,5250,433,999,1432,808,10639,190,4096,705,,,2069,399,7176,5279,8558,12,59,6,9681,349,241,3365,71,23,2
EAST POKOT,14498,9565,4056,9232,153,87,330,3931,1798,95,1330,77,69,126,363,101,84,185,73,53,1114,140,381,80,,,406,451,5888,5644,8703,3165,617,9,3137,170,182,3484,17,137,45
KOIBATEK,30774,21544,20417,16043,48,119,355,19234,1545,9351,12917,803,1567,275,416,3617,4069,1192,6054,264,3616,104,9339,707,,,6416,815,7012,7393,2012,6,2178,35,11807,594,232,1000,368,45,8
MARIGAT,19854,13596,11608,10954,64,221,4956,11044,1391,574,5507,434,614,151,773,1310,188,935,1035,299,2522,948,2355,428,,,568,207,6332,4469,7552,7,903,4,7956,235,97,2565,27,61,6
MOGOTIO,18184,13607,11962,11756,51,101,537,11524,1918,199,7043,537,971,210,397,1552,209,503,784,1185,3195,109,2118,186,,,722,181,8786,5591,6751,9,1489,17,9436,145,67,3174,42,46,8
TIATY EAST,12153,8607,5651,8092,130,129,256,5504,276,290,2435,49,191,55,316,91,161,354,322,24,169,131,724,24,,,188,186,5308,5234,7438,1165,636,3,4237,177,77,2293,6,123,6
LAIKIPIA,149271,90729,74338,68281,374,483,9170,70534,5306,38543,53967,2671,8722,3936,1781,7092,7873,6415,10333,,1516,740,17753,4706,,,9243,1865,35051,37789,29474,899,4212,328,50215,2317,618,2982,2226,353,26
LAIKIPIA CENTRAL,30372,18787,16085,15611,129,130,3011,14816,2719,13179,13626,505,2966,411,506,1332,2518,1711,4090,,477,257,5196,1516,,,2489,413,8431,8399,5885,17,779,92,13016,478,106,567,839,125,3
LAIKIPIA EAST,33505,13192,9656,10137,141,114,1233,8911,208,7815,7554,305,1369,342,421,1144,1017,794,1395,,92,79,2797,978,,,1338,244,4793,5557,4303,131,374,81,7117,550,131,355,383,134,13
LAIKIPIA NORTH,7752,5898,455,5809,8,36,69,406,20,168,399,21,37,13,15,27,35,57,65,,11,13,111,18,,,26,87,3833,4834,5133,506,770,5,2847,53,29,1072,4,7,1
LAIKIPIA WEST,33025,24338,20900,17462,38,107,2214,20245,1458,5245,14932,746,1921,930,270,1121,1357,1649,1665,,378,219,2610,647,,,1330,636,9660,10228,9276,236,1109,43,11744,465,189,508,314,33,4
NYAHURURU,44617,28514,27242,19262,58,96,2643,26156,901,12136,17456,1094,2429,2240,569,3468,2946,2204,3118,,558,172,7039,1547,,,4060,485,8334,8771,4877,9,1180,107,15491,771,163,480,686,54,5
NAKURU,616046,283652,261001,191468,565,2494,7942,243535,9613,140998,168112,6953,16130,6021,7919,32257,41413,14871,65022,,13563,,114162,11097,,,52739,6781,67473,76438,33712,61,15750,1700,140607,10631,3421,5935,7001,517,56
GILGIL,58920,27273,24669,18806,47,113,787,23695,982,15359,21481,1034,2431,329,815,3010,3034,1920,6023,,842,,9169,1790,,,2303,452,7735,8013,4912,2,1931,165,15496,924,318,506,849,46,2
KURESOI NORTH,40359,33190,32215,22889,73,80,298,30713,455,23145,10963,80,349,1679,1224,1441,7513,1006,10380,,1608,,16861,269,,,8714,991,9862,8937,2244,2,2737,28,14337,1202,360,1211,504,65,12
KURESOI SOUTH,34627,28030,27142,21651,54,57,197,25349,383,13872,7165,82,338,869,820,2556,7452,709,8082,,2006,,15071,511,,,9497,1030,10250,6647,2158,1,1037,6,14374,1071,347,1478,257,52,4
MOLO,41462,26641,25114,16948,26,58,331,23531,556,17167,13884,231,514,230,985,1826,5370,789,7030,,995,,11244,429,,,6358,762,4071,7749,1712,6,1227,47,12251,1130,371,585,779,23,3
NAIVASHA,117633,33061,27272,22748,65,1624,1121,23332,321,17061,20884,353,1555,283,745,1548,4381,1850,9444,,213,,12924,978,,,5273,1022,6839,10321,4740,11,2891,250,16707,1347,485,399,1118,57,9
NAKURU EAST,61398,8876,6853,4762,34,46,404,5637,157,2520,4448,167,411,171,210,653,739,690,1023,,102,,2640,277,,,824,140,350,1094,849,5,39,109,3458,573,233,28,208,30,2
NAKURU NORTH,61728,28990,26248,18581,54,110,750,24972,751,17040,21763,1544,3217,334,899,7952,3718,2132,5821,,396,,14113,2954,,,4640,536,3025,7420,3010,4,418,353,14755,1201,350,86,966,51,6
NAKURU WEST,64481,8752,7369,4490,20,59,304,6573,434,1347,5256,148,420,217,125,705,582,632,845,,625,,2728,234,,,1068,158,1117,1018,823,2,53,124,2913,486,183,41,87,18,1
